"","LS","rolling-LS","Kalman"
"volatility",0.001362,0.001545,0.001201
"StdDev Sharpe (Rf=0%, p=95%):",0.038492,-0.021132,0.074352
"VaR Sharpe (Rf=0%, p=95%):",0.025454,-0.013226,0.049973
"ES Sharpe (Rf=0%, p=95%):",0.016732,-0.009756,0.034483
"Holding period",46.5,66,12.555556
"cumulative return",0.067313,-0.04095,0.109977
